,account_id,count
2767,251841,24
9019,1722504,24
8990,1718926,24
11477,2216953,24
2928,280571,24
6724,1148841,24
5130,722839,24
2623,230163,24
70,6072,24
16877,3754444,24
2310,190862,23
12964,2569297,23
1249,93281,23
8928,1712183,23
23624,5973505,23
24163,6123247,23
296,21108,23
18100,4051211,23
6820,1197669,23
4967,613301,23
6897,1218068,23
18730,4240754,23
20919,5192442,23
4853,580279,23
23036,5811321,23
24293,6158805,23
23947,6062375,23
5469,813856,23
1089,80628,23
1108,81815,23
6501,1099382,23
1621,123933,23
23354,5908656,23
4676,536227,23
19761,4810641,23
24334,6170303,23
15414,3366717,23
